HSNCode,Description of Goods,CGST,SGST,IGST
62,"Articles    of apparel and clothing accessories, not knitted or crocheted, of sale value    exceeding Rs. 1000 per piece",6,6,12
63,"Other    made up textile articles, sets of sale value exceeding Rs. 1000 per piece [    other than Worn clothing and other worn articles; rags]",6,6,12
64,"Footwear    having a retail sale price not exceeding Rs.1000 per pair, provided that such    retail sale price is indelibly marked or embossed on the footwear itself.",2.5,2.5,5
68,"Deities made of stone, marble or wood",0,0,0
69,Idols    made of clay,0,0,0
84,Parts    suitable for use solely or principally with fixed Speed Diesel Engines of    power not exceeding 15HP,9,9,18
85,"Parts    suitable for use solely or principally with power driven pumps primarily    designed for handling water, namely, centrifugal pumps( horizontal and    vertical), deep tube-well turbine pumps, submersible pumps, axial flow and    mixed flow vertical pumps",9,9,18
87,"Electrically operated vehicles, including two and three wheeled electric vehicles.  Explanation .- For the purposes of this entry, “Electrically operated vehicles” means vehicles which are run solely on electrical energy derived from an external source or from one or more electrical batteries fitted to such road vehicles and shall include E- bicycles.",2.5,2.5,5
88,"Scientific    and       technical    instruments,    apparatus, equipment,  accessories,  parts,     components,  spares, tools,   mock      ups   and   modules,      raw   material   and consumables    required    for       launch    vehicles    and satellites and payloads",2.5,2.5,5
90,Disposable    sterilized dialyzer or micro barrier of artificial kidney,2.5,2.5,5
91,Coronary    stents and coronary stent systems for use with cardiac catheters,2.5,2.5,5
92,Indigenous    handmade musical instruments as listed in ANNEXURE II,0,0,0
101,"Live asses,    mules and hinnies ",0,0,0
102,Live    bovine animals,0,0,0
103,Live    swine,0,0,0
104,Live    sheep and goats,0,0,0
105,"Live    poultry, that is to say, fowls of the species Gallus domesticus, ducks,    geese, turkeys and guinea fowls.",0,0,0
106,"Other    live animal such as Mammals, Birds, Insects",0,0,0
201,"Meat    of bovine animals, fresh and chilled.",0,0,0
301,Live    fish.,0,0,0
302,"Fish,    fresh or chilled, excluding fish fillets and other fish meat of heading 0304",0,0,0
401,Ultra    High Temperature (UHT) milk,2.5,2.5,5
402,"Milk    and cream, concentrated or containing added sugar or other sweetening matter,    including skimmed milk powder, milk food for babies [other than condensed    milk]",2.5,2.5,5
403,Curd Lassi Butter milk,0,0,0
404,"Whey,    whether or not concentrated or containing added sugar or other sweetening    matter; products consisting of natural milk constituents, whether or not    containing added sugar or other sweetening matter, not elsewhere specified or    included",2.5,2.5,5
405,"Butter    and other fats (i.e. ghee, butter oil, etc.) and oils derived from milk;    dairy spreads",6,6,12
406,Cheese,6,6,12
407,"Birds`    eggs, in shell, fresh, preserved or cooked",0,0,0
408,"Birds`    eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by    boiling in water, moulded, frozen or otherwise preserved, whether or not    containing added sugar or other sweetening matter. ",2.5,2.5,5
409,"Natural    honey, other than those put up in unit container and,- (a) bearing a    registered brand name; or (b) bearing a brand name on which an actionable    claim or enforceable right in a court of law is available [other than those    where any actionable claim or any enforceable right in respect of such brand    name has been voluntarily foregone, subject to the conditions as in the    ANNEXURE I]",0,0,0
410,"Edible    products of animal origin, not elsewhere specified or included",2.5,2.5,5
501,"Human    hair, unworked, whether or not washed or scoured; waste of human hair",0,0,0
502,"Pigs`,    hogs` or boars` bristles and hair; badger hair and other brush making hair;    waste of such bristles or hair.",2.5,2.5,5
504,"All    goods [other than fresh or chilled] and put up in unit container and, -
     (a) bearing a registered brand name; or 
     (b) bearing a brand name on which an actionable claim or enforceable right    in a court of law is available other than those where any actionable claim or    enforceable right in respect of such brand name has been foregone    voluntarily], subject to the conditions as in the ANNEXURE.",2.5,2.5,5
505,"Skins    and other parts of birds, with their feathers or down, feathers and parts of    feathers (whether or not with trimmed edges) and down, not further worked    than cleaned, disinfected or treated for preservation; powder and waste of    feathers or parts of feathers",2.5,2.5,5
506,"All    goods i.e. Bones and horn-cores, unworked, defatted, simply prepared (but not    cut to shape), treated with acid or gelatinised; powder and waste of these    products",0,0,0
507,"Ivory,    tortoise-shell, whalebone and whalebone hair, horns, unworked or simply    prepared but not cut to shape; powder and waste of these products.",2.5,2.5,5
508,"Coral    and similar materials, unworked or simply prepared but not otherwise worked;    shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or    simply prepared but not cut to shape, powder and waste thereof.",2.5,2.5,5
510,"Ambergris,    castoreum, civet and musk; cantharides; bile, whether or not dried; glands    and other animal products used in the preparation of pharmaceutical products,    fresh, chilled, frozen or otherwise provisionally preserved.",2.5,2.5,5
511,Semen    including frozen semen,0,0,0
701,"Potatoes,    fresh or chilled.",0,0,0
702,"Tomatoes,    fresh or chilled.",0,0,0
703,"Onions,    shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.",0,0,0
704,"Cabbages,    cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.",0,0,0
705,"Lettuce    (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled.",0,0,0
706,"Carrots,    turnips, salad beetroot, salsify, celeriac, radishes and similar edible    roots, fresh or chilled.",0,0,0
707,"Cucumbers    and gherkins, fresh or chilled.",0,0,0
708,"Leguminous    vegetables, shelled or unshelled, fresh or chilled.",0,0,0
709,"Other    vegetables, fresh or chilled.",0,0,0
710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen",0,0,0
711,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",0,0,0
712,"Dried    vegetables, whole, cut, sliced, broken or in powder, but not further    prepared.",0,0,0
713,"Dried    leguminous vegetables, shelled, whether or not skinned or split put up in    unit container and,- (a) bearing a registered brand name; or (b) bearing a    brand name on which an actionable claim or enforceable right in a court of    law is available [other than those where any actionable claim or any    enforceable right in respect of such brand name has been voluntarily    foregone, subject to the conditions as in the ANNEXURE]",2.5,2.5,5
714,"Manioc,    arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and    tubers with high starch or inulin content, frozen, whether or not sliced or    in the form of pellets other than those put up in unit container and, -
     (a) bearing a registered brand name; or 
     (b) bearing a brand name on which an actionable claim or enforceable right    in a court of law is available [other than those where any actionable claim    or enforceable right in respect of such brand name has been foregone voluntarily],    subject to the conditions as in the ANNEXURE I]",0,0,0
801,"Cashew    nuts, whether or not shelled or peeled, desiccated coconuts",2.5,2.5,5
802,"Walnuts,    whether or not shelled.",2.5,2.5,5
803,"Bananas,    including plantains, fresh or dried",0,0,0
804,"Dates    (soft or hard), figs, pineapples, avocados, guavas, and mangosteens, dried",6,6,12
805,"Citrus    fruit, such as Oranges, Mandarins (including tangerines and satsumas);    clementines, wilkings and similar citrus hybrids, Grapefruit, including    pomelos, Lemons (Citrus limon, Citrus limonum) and limes (Citrus    aurantifolia, Citrus latifolia), dried",6,6,12
806,"Grapes,    fresh",0,0,0
807,"Melons    (including watermelons) and papaws (papayas), fresh.",0,0,0
808,"Apples,    pears and quinces, fresh.",0,0,0
809,"Apricots,    cherries, peaches (including nectarines), plums and sloes, fresh.",0,0,0
810,"Other    fruit such as strawberries, raspberries, blackberries, mulberries and    loganberries, black, white or red currants and gooseberries, cranberries,    bilberries and other fruits of the genus vaccinium, Kiwi fruit, Durians,    Persimmons, Pomegranates, Tamarind, Sapota (chico), Custard-apple (ata),    Bore, Lichi, fresh.",0,0,0
811,"Fruit    and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether    or not containing added sugar or other sweetening matter",2.5,2.5,5
812,"Fruit    and nuts, provisionally preserved (for example, by sulphur dioxide gas, in    brine, in sulphur water or in other preservative solutions), but unsuitable    in that state for immediate consumption",2.5,2.5,5
813,"Fruit,    dried, other than that of headings 0801 to 0806; mixtures of nuts or dried    fruits of Chapter 8 other than dried tamarind and dried chestnut (singhada)    whether or not shelled or peeled",6,6,12
814,"Peel    of citrus fruit or melons (including watermelons), frozen, dried or    provisionally preserved in brine, in sulphur water or in other preservative    solutions",2.5,2.5,5
901,"Coffee    beans, not roasted",0,0,0
902,"Parts    of the following goods, namely:- 
     (i)     Crutches; 
     (ii) Wheel chairs; 
     (iii) Walking frames; 
     (iv) Tricycles; 
     (v) Braillers; and 
     (vi) Artificial limbs",2.5,2.5,5
903,Maté,2.5,2.5,5
904,Pepper    of the genus Piper,2.5,2.5,5
905,Vanilla,2.5,2.5,5
906,Cinnamon    and cinnamon-tree flowers,2.5,2.5,5
907,"Cloves    (whole fruit, cloves and stems)",2.5,2.5,5
908,"Nutmeg,    mace and cardamoms",2.5,2.5,5
909,"Seeds    of anise, badian, fennel, coriander, cumin or caraway; juniper berries [of    seed quality]",0,0,0
910,"Ginger    other than fresh ginger, saffron, turmeric (curcuma) other than fresh    turmeric, thyme, bay leaves, curry and other spices",2.5,2.5,5
1001,"Wheat    and meslin put up in unit container and,- (a) bearing a registered brand    name; or (b) bearing a brand name on which an actionable claim or enforceable    right in a court of law is available other than those where any actionable    claim or any enforceable right in respect of such brand name has been    voluntarily foregone, subject to the conditions as in the ANNEXURE.",2.5,2.5,5
1002,"Rye put up in    unit container and,- (a) bearing a registered brand name; or (b) bearing a    brand name on which an actionable claim or enforceable right in a court of    law is available other than those where any actionable claim or any    enforceable right in respect of such brand name has been voluntarily    foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1003,"Barley    put up in unit container and,- (a) bearing a registered brand name; or (b)    bearing a brand name on which an actionable claim or enforceable right in a    court of law is available other than those where any actionable claim or any    enforceable right in respect of such brand name has been voluntarily    foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1004,"Oats other than    those put up in unit container and,- (a) bearing a registered brand name; or    (b) bearing a brand name on which an actionable claim or enforceable right in    a court of law is available [other than those where any actionable claim or    enforceable right in respect of such brand name has been foregone    voluntarily, subject to the conditions as in the ANNEXURE I]",0,0,0
1005,"Maize    (corn) put up in unit container and,- (a) bearing a registered brand name; or    (b) bearing a brand name on which an actionable claim or enforceable right in    a court of law is available other than those where any actionable claim or    any enforceable right in respect of such brand name has been voluntarily    foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1006,"Rice    put up in unit container and,- (a) bearing a registered brand name; or (b)    bearing a brand name on which an actionable claim or enforceable right in a    court of law is available other than those where any actionable claim or any    enforceable right in respect of such brand name has been voluntarily    foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1007,"Grain    sorghum put up in unit container and,- (a) bearing a registered brand name;    or (b) bearing a brand name on which an actionable claim or enforceable right    in a court of law is available other than those where any actionable claim or    any enforceable right in respect of such brand name has been voluntarily    foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1008,"Buckwheat,    millet and canary seed; other cereals such as Jawar, Bajra, Ragi] put up in    unit container and,- (a) bearing a registered brand name; or (b) bearing a    brand name on which an actionable claim or enforceable right in a court of    law is available other than those where any actionable claim or any    enforceable right in respect of such brand name has been voluntarily    foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1101,"Wheat    or meslin flour other than those put up in unit container and,- (a) bearing a    registered brand name; or (b) bearing a brand name on which an actionable    claim or enforceable right in a court of law is available [other than those    where any actionable claim or enforceable right in respect of such brand name    has been foregone voluntarily, subject to the conditions as in the ANNEXURE    I]",0,0,0
1102,"Cereal    flours other than of wheat or meslin, [maize (corn) flour, Rye flour, etc.]    other than those put up in unit container and,- (a) bearing a registered    brand name; or (b) bearing a brand name on which an actionable claim or    enforceable right in a court of law is available [other than those where any    actionable claim or enforceable right in respect of such brand name has been    foregone voluntarily, subject to the conditions as in the ANNEXURE I]",0,0,0
1103,"Cereal    groats, meal and pellets other than those put up in unit container and,- (a)    bearing a registered brand name; or (b) bearing a brand name on which an    actionable claim or enforceable right in a court of law is available [other    than those where any actionable claim or enforceable right in respect of such    brand name has been foregone voluntarily, subject to the conditions as in the    ANNEXURE I]",0,0,0
1104,"Cereal    grains otherwise worked (for example, rolled, flaked, pearled, sliced or    kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked    or ground [other than hulled cereal grains]",2.5,2.5,5
1105,"Flour,    powder, flakes, granules or pellets of potatoes other than those put up in    unit container and,- (a) bearing a registered brand name; or (b) bearing a    brand name on which an actionable claim or enforceable right in a court of    law is available [other than those where any actionable claim or enforceable    right in respect of such brand name has been foregone voluntarily, subject to    the conditions as in the ANNEXURE I]",0,0,0
1106,"Meal    and powder of the dried leguminous vegetables of heading 0713 (pulses) [other    than guar meal 1106 10 10 and guar gum refined split 0713], of sago or of    roots or tubers of heading 0714 or of the products of Chapter 8, put up in    unit container and bearing a registered brand name",2.5,2.5,5
1107,"Malt,    whether or not roasted",9,9,18
1108,Starches     inulin,6,6,12
1201,"Soya    beans, whether or not broken, of seed quality.",0,0,0
1202,"Ground-nuts,    not roasted or otherwise cooked, whether or not shelled or brokenother than    of seed quality.",2.5,2.5,5
1203,Copra,2.5,2.5,5
1204,"Linseed,    whether or not broken, of seed quality.",0,0,0
1205,"Rape    or colza seeds, whether or not broken, of seed quality.",0,0,0
1206,"Sunflower    seeds, whether or not broken, of seed quality.",0,0,0
1207,"Other    oil seeds and oleaginous fruits (i.e. Palm nuts and kernels, cotton seeds,    Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamus    tinctorius) seeds, Melon seeds, Poppy seeds, Ajams, Mango kernel, Niger seed,    Kokam) whether or not broken, of seed quality.",0,0,0
1208,"Flour    and meals of oil seeds or oleaginous fruits, other than those of mustard",2.5,2.5,5
1209,"Seeds,    fruit and spores, of a kind used for sowing.",0,0,0
1210,"Hop    cones, fresh.",0,0,0
1211,"Plants    and parts of plants (including  seeds    and fruits), of a kind used primarily in perfumery, in pharmacy or for    insecticidal, fungicidal or similar purpose, frozen or dried, whether or not    cut, crushed or powdered",2.5,2.5,5
1212,"Locust    beans, seaweeds and other algae, sugar beet and sugar cane, fresh or chilled.",0,0,0
1213,"Cereal    straw and husks, unprepared, whether or not chopped, ground, pressed or in    the form of pellets",0,0,0
1214,"Swedes,    mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage    kale, lupines, vetches and similar forage products, whether or not in the    form of pellets.",0,0,0
1301,Lac    and Shellac,0,0,0
1302,"Vegetable    saps and extracts; pectic substances, pectinates and pectates; agar-agar and    other mucilages and thickeners, whether or not modified, derived from    vegetable products other than tamarind kernel powder",9,9,18
1401,"Sal leaves, siali leaves, sisal leaves, sabai grass",0,0,0
1404,"Vegetable    products not elsewhere specified or included such as, Cotton linters, Soap    nuts, Hard seeds, pips, hulls and nuts, of a kind used primarily for carving,    Rudraksha seeds [other than bidi wrapper leaves (tendu), betel leaves, Indian    katha, coconut shell, unworked]",2.5,2.5,5
1501,"Pig    fats (including lard) and poultry fat, other than that of heading 0209 or    1503",6,6,12
1502,"Fats    of bovine animals, sheep or goats, other than those of heading 1503",6,6,12
1503,"Lard    stearin, lard oil, oleo stearin, oleo-oil and tallow oil, not emulsified or    mixed or otherwise prepared",6,6,12
1504,"Fats    and oils and their fractions, of fish or marine mammals, whether or not    refined, but not chemically modified",6,6,12
1505,Wool    grease and fatty substances derived therefrom (including lanolin),6,6,12
1506,"Other    animal fats and oils and their fractions, whether or not refined, but not    chemically modified",6,6,12
1507,"Soya-bean    oil and its fractions, whether or not refined, but not chemically modified",2.5,2.5,5
1508,"Ground-nut    oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5
1509,"Olive    oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5
1510,"Other    oils and their fractions, obtained solely from olives, whether or not    refined, but not chemically modified, including blends of these oils or    fractions with oils or fractions of heading 1509",2.5,2.5,5
1511,"Palm    oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5
1512,"Sunflower-seed,    safflower or cotton-seed oil and fractions thereof, whether or not refined,    but not chemically modified.",2.5,2.5,5
1513,"Coconut    (copra), palm kernel or babassu oil and fractions thereof, whether or not    refined, but not chemically modified.",2.5,2.5,5
1514,"Rape,    colza or mustard oil and fractions thereof, whether or not refined, but not    chemically modified.",2.5,2.5,5
1515,"Other    fixed vegetable fats and oils (including jojoba oil) and their fractions,    whether or not refined, but not chemically modified.",2.5,2.5,5
1516,"Vegetable    fats and oils and their fractions, partly or wholly hydrogenated,    inter-esterified, re-esterified or elaidinised, whether or not refined, but    not further prepared.",2.5,2.5,5
1517,"Edible    mixtures or preparations of  animal    fats or animal oils or of fractions of different animal fats or animal oils    of this Chapter, other than edible fats or oils or their fractions of heading    1516",6,6,12
1518,"Animal    fats and animal oils and their fractions, boiled, oxidised, dehydrated,    sulphurised, blown, polymerised by heat in vacuum or in inert gas or    otherwise chemically modified, excluding those of heading 1516; inedible    mixtures or preparations of animal or vegetable fats or oils or of fractions    of different fats or oils of this chapter, not elsewhere specified of    included",6,6,12
1521,"Vegetable    waxes (other than triglycerides), Beeswax, other insect waxes and spermaceti,    whether or not refined or coloured",9,9,18
1522,"Degras,    residues resulting from the treatment of fatty substances or animal or    vegetable waxes",9,9,18
1601,"Sausages    and similar products, of meat, meat offal or blood; food preparations based    on these products",6,6,12
1602,"Other    prepared or preserved meat, meat offal or blood",6,6,12
1603,"Extracts and juices of meat, fish or crustaceans, molluscs or

  other aquatic invertebrates",6,6,12
1604,Prepared or preserved fish  caviar and caviar substitutes prepared from fish eggs,6,6,12
1605,"Crustaceans,    molluscs and other aquatic invertebrates prepared or preserved",6,6,12
1701,"Beet    sugar, cane sugar",2.5,2.5,5
1702,"Other    sugars, including chemically pure lactose, maltose, glucose and fructose, in    solid form; sugar syrups not containing added flavouring or colouring matter;    artificial honey, whether or not mixed with natural honey; caramel [other    than palmyra sugar and Palmyra jaggery]",9,9,18
1703,Molasses,14,14,28
1704,Sugar    boiled confectionery,6,6,12
1801,"Cocoa    beans whole or broken, raw or roasted",2.5,2.5,5
1802,"Cocoa    shells, husks, skins and other cocoa waste",2.5,2.5,5
1803,Cocoa    paste whether or not de-fatted,2.5,2.5,5
1804,"Cocoa    butter, fat and oil",9,9,18
1805,"Cocoa powder,    not containing added sugar or sweetening matter",9,9,18
1806,Chocolates    and other food preparations containing cocoa,9,9,18
1902,Seviyan    (vermicelli),2.5,2.5,5
1903,"Tapioca    and substitutes therefor prepared from starch, in the form of flakes, grains,    pearls, siftings or in similar forms. (sabudana)",2.5,2.5,5
1904,"Puffed    rice, commonly known as Muri, flattened or beaten rice, commonly known as    Chira, parched rice, commonly known as khoi, parched paddy or rice coated    with sugar or gur, commonly known as Murki",0,0,0
1905,Pizza    bread,2.5,2.5,5
2000,"Mixes    and doughs for the preparation of bread, pastry and other baker`s wares",2.5,2.5,5
2001,"Vegetables,    fruit, nuts and other edible parts of plants, prepared or preserved by    vinegar or acetic acid",6,6,12
2002,Tomatoes    prepared or preserved otherwise than by vinegar or acetic acid,6,6,12
2003,"Mushrooms    and truffles, prepared or preserved otherwise than by vinegar or acetic acid",6,6,12
2004,"Other    vegetables prepared or preserved otherwise than by vinegar or acetic acid,    frozen, other than products of heading 2006",6,6,12
2005,"Other    vegetables prepared or preserved otherwise than by vinegar or acetic acid,    not frozen, other than products of heading 2006",6,6,12
2006,"Vegetables,    fruit, nuts, fruit-peel and other parts of plants, preserved by sugar    (drained, glacé or crystallised)",6,6,12
2007,"Jams,    fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes,    obtained by cooking, whether or not containing added sugar or other    sweetening matter",6,6,12
2008,"Fruit,    nuts and other edible parts of plants, otherwise prepared or preserved,    whether or not containing added sugar or other sweetening matter or spirit,    not elsewhere specified or included; such as Ground-nuts, Cashew nut,    roasted, salted or roasted and salted, Other roasted nuts and seeds, squash    of Mango, Lemon, Orange, Pineapple or other fruits",6,6,12
2009,"Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",6,6,12
2101,"All    goods i.e Extracts, essences and concentrates of tea or mate, and    preparations with a basis of these extracts, essences or concentrates or with    a basis of tea or mate",9,9,18
2102,"Yeasts    (active and inactive); other single cell micro-organisms, dead (but not    including vaccines of heading 3002); prepared baking powders",6,6,12
2103,"All    goods, including Sauces and preparations therefor, mixed condiments and mixed    seasonings; mustard flour and meal and prepared mustard, Curry paste,    mayonnaise and salad dressings",6,6,12
2104,Soups    and broths and preparations therefor  homogenised composite food preparations,9,9,18
2106,"Prasadam    supplied by religious places like temples, mosques, churches, gurudwaras,    dargahs, etc.",0,0,0
2201,"Non-alcoholic    Toddy, Neera including date and palm neera",0,0,0
2207,"Ethyl    alcohol and other spirits, denatured, of any strength[other than ethyl    alcohol supplied to Oil Marketing Companies for blending with motor spirit    (petrol)] ",9,9,18
2209,Vinegar    and substitutes for vinegar obtained from acetic acid,9,9,18
2301,"Flours,    meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs    or other aquatic invertebrates, unfit for human consumption; greaves",2.5,2.5,5
2302,"Bran,    sharps and other residues, whether or not in the form of pellets, derived    from the sifting, milling or other working of cereals or of leguminous plants    other than aquatic feed including shrimp feed and prawn feed, poultry feed    and cattle feed, including grass, hay and straw, supplement and husk of    pulses, concentrates and additives, wheat bran and de-oiled cake",2.5,2.5,5
2303,"Residues    of starch manufacture and similar residues, beet-pulp, bagasse and other    waste of sugar manufacture, brewing or distilling dregs and waste, whether or    not in the form of pellets",2.5,2.5,5
2304,"Oil-cake    and other solid residues, whether or not ground or in the form of pellets,    resulting from the extraction of soyabean oil ",2.5,2.5,5
2305,"Oil-cake    and other solid residues, whether or not ground or in the form of pellets,    resulting from the extraction of ground-nut oil",2.5,2.5,5
2306,"De-oiled    rice bran Explanation: The exemption applies to de-oiled rice bran falling    under heading 2306 with effect from 25th January, 2018",0,0,0
2307,Wine    lees  argol,2.5,2.5,5
2401,Tobacco    leaves,2.5,2.5,5
2402,"Cigars,    cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes",14,14,28
2403,Other    manufactured tobacco and manufactured tobacco substitutes  “homogenised” or    “reconstituted” tobacco,14,14,28
2501,"Salt    (including table salt and denatured salt) and pure sodium chloride, whether    or not in aqueous solutions or containing added anti-caking or free flowing    agents; sea water",0,0,0
2502,Unroasted    iron pyrites.,2.5,2.5,5
2503,"Sulphur    of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal    sulphur",2.5,2.5,5
2504,Natural    graphite.,2.5,2.5,5
2505,"Natural    sands of all kinds, whether or not coloured, other than metal bearing sands    of Chapter 26.",2.5,2.5,5
2506,"Quartz    (other than natural sands); quartzite, whether or not roughly trimmed or    merely cut, by sawing or otherwise, into blocks or slabs of a rectangular    (including square) shape.",2.5,2.5,5
2507,"Kaolin    and other kaolinic clays, whether or not calcined.",2.5,2.5,5
2508,"Other    clays (not including expanded clays of heading 6806), andalusite, kyanite and    sillimanite, whether or not calcined; mullite; chamotte or dinas earths.",2.5,2.5,5
2509,Chalk.,2.5,2.5,5
2510,"Natural    calcium phosphates, natural aluminium calcium phosphates and phosphatic    chalk.",2.5,2.5,5
2511,"Natural    barium sulphate (barytes); natural barium carbonate (witherite), whether or    not calcined, other than barium oxide of heading 2816.",2.5,2.5,5
2512,"Siliceous    fossil meals (for example, kieselguhr, tripolite and diatomite) and similar    siliceous earths, whether or not calcined, of an apparent specific gravity of    1 or less.",2.5,2.5,5
2513,"Pumice    stone; emery; natural corundum, natural garnet and other natural abrasives,    whether or not heat-treated.",2.5,2.5,5
2514,"Slate,    whether or not roughly trimmed or merely cut, by sawing or otherwise, into    blocks or slabs of a rectangular (including square) shape.",2.5,2.5,5
2515,"Ecaussine    and other calcareous monumental or building stone alabaster [other than    marble and
     travertine], other than mirror polished stone which is ready to use",2.5,2.5,5
2516,"Porphyry,    basalt, sandstone and other monumental or building stone, whether or not    roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs    of a rectangular (including square) shape.",2.5,2.5,5
2517,"Pebbles,    gravel, broken or crushed stone, of a kind commonly used for concrete    aggregates, for road metalling or for railway or other ballast, shingle and    flint, whether or not heat-treated; macadam of slag, dross or similar    industrial waste, whether or not incorporating the materials cited in the    first part of the heading; tarred macadam; grenules cheeping and powder of    stones heading 2515 or 2516 whether or not heat treated.",2.5,2.5,5
2518,"Dolomite,    whether or not calcined or sintered, including dolomite roughly trimmed or    merely cut, by sawing or otherwise, into blocks or slabs of a rectangular    (including square) shape; dolomite ramming mix.
     2518 10 dolomite, Not calcined or sintered",2.5,2.5,5
2519,"Natural    magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered)    magnesia, whether or not containing small quantities of other oxides added    before sintering; other magnesium oxide, whether or not pure.",2.5,2.5,5
2520,"Gypsum;    anhydrite; plasters (consisting of calcined gypsum or calcium sulphate)    whether or not coloured, with or without small quantities of accelerators or    retarders.",2.5,2.5,5
2521,"Limestone    flux; limestone and other calcareous stone, of a kind used for the    manufacture of lime or cement.",2.5,2.5,5
2522,"Quicklime,    slaked lime and hydraulic lime, other than calcium oxide and hydroxide of    heading 2825.",2.5,2.5,5
2523,"Portland    cement, aluminous cement, slag cement, super sulphate cement and similar    hydraulic cements, whether or not coloured or in the form of clinkers",14,14,28
2524,Asbestos,2.5,2.5,5
2525,"Mica,    including splitting; mica waste.",2.5,2.5,5
2526,"Natural    steatite, whether or not roughly trimmed or merely cut, by sawing or    otherwise, into blocks or slabs of a rectangular (including square) shape;    talc.",2.5,2.5,5
2528,"Natural    borates and concentrates thereof (whether or not calcined), but not including    borates separated from natural brine; natural boric acid containing not more    than 85% of H3BO3 (calculated on dry weight)",2.5,2.5,5
2529,"Feldspar;    leucite, nepheline and nepheline syenite; fluorspar.",2.5,2.5,5
2530,Mineral    substances not elsewhere specified or included.,2.5,2.5,5
2601,"Iron    ores and concentrates, including roasted iron pyrites",2.5,2.5,5
2602,"Manganese    ores and concentrates, including ferruginous manganese ores and concentrates    with a manganese content of 20% or more, calculated on the dry weight.",2.5,2.5,5
2603,Copper    ores and concentrates.,2.5,2.5,5
2604,Nickel ores and    concentrates.,2.5,2.5,5
